#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-04-16 04:32:35 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/ca/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
# 80155		Suspended sediment discharge, tons per day		5	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	11458000	00060	2	1988	2	78.2
USGS	11458000	00060	2	1988	3	29.3
USGS	11458000	00060	2	1988	4	23.4
USGS	11458000	00060	2	1988	5	17.8
USGS	11458000	00060	2	1988	6	7.70
USGS	11458000	00060	2	1988	7	2.59
USGS	11458000	00060	2	1988	8	1.76
USGS	11458000	00060	2	1988	9	1.27
USGS	11458000	00060	2	1988	10	1.06
USGS	11458000	00060	2	1988	11	26.8
USGS	11458000	00060	2	1988	12	47.8
USGS	11458000	00060	2	1989	1	35.5
USGS	11458000	00060	2	1989	2	16.5
USGS	11458000	00060	2	1989	3	522.7
USGS	11458000	00060	2	1989	4	88.4
USGS	11458000	00060	2	1989	5	26.1
USGS	11458000	00060	2	1989	6	9.98
USGS	11458000	00060	2	1989	7	4.21
USGS	11458000	00060	2	1989	8	1.45
USGS	11458000	00060	2	1989	9	1.55
USGS	11458000	00060	2	1989	10	6.91
USGS	11458000	00060	2	1989	11	11.7
USGS	11458000	00060	2	1989	12	7.88
USGS	11458000	00060	2	1990	1	108.5
USGS	11458000	00060	2	1990	2	163.7
USGS	11458000	00060	2	1990	3	64.3
USGS	11458000	00060	2	1990	4	21.0
USGS	11458000	00060	2	1990	5	39.8
USGS	11458000	00060	2	1990	6	19.3
USGS	11458000	00060	2	1990	7	2.65
USGS	11458000	00060	2	1990	8	1.46
USGS	11458000	00060	2	1990	9	0.832
USGS	11458000	00060	2	1990	10	0.912
USGS	11458000	00060	2	1990	11	1.10
USGS	11458000	00060	2	1990	12	2.57
USGS	11458000	00060	2	1991	1	2.17
USGS	11458000	00060	2	1991	2	10.3
